activityKey,title,category,categoryLabel,description,durationLabel,durationMinMinutes,durationMaxMinutes,priceFromEur,priceLabel,currency,ctaLabel,ctaAction,notes,sortOrder,isFeatured,allowBnB,allowSurfStay,allowPackageAddon,packageKeysEligible,enquiryOnly,timeRestriction,isActive
taghazout-skate-park,Taghazout Skate Park,surf,Surf,"Enjoy an easygoing session at the Taghazout skate park where you can ride, play, and move with total freedom. A relaxed, fun atmosphere for all levels, ending with dinner together in town.",3 - 4 hours,180,240,12,From €12,EUR,Book now,book_now,Meal for additional cost,10,false,true,true,true,,false,,true
sandboarding,Sandboarding,surf,Surf,"Glide down soft dunes and enjoy a simple, laughter-filled adventure in open landscapes. Light, playful, and perfect for anyone who wants easy fun.",4 - 5 hours,240,300,25,From €25,EUR,Book now,book_now,,20,false,true,true,true,,false,,true
quad-biking,Quad Biking,surf,Surf,"A freedom-filled quad ride, where wild dunes meet the ocean's edge, in a fast and fun adventure. Great energy and a memorable moment for groups.",3 hours,180,180,45,From €45,EUR,Book now,book_now,,30,false,true,true,true,,false,,true
hiking,Hiking,surf,Surf,"Walk through peaceful mountain trails, discover beautiful viewpoints, and reconnect with nature. A grounding, scenic experience with outdoor lunch included.",Half day,240,300,25,From €25,EUR,Book now,book_now,Outdoor lunch included,40,false,true,true,true,,false,,true
horse-riding,Horse Riding,surf,Surf,"Ride gentle, well-trained horses along peaceful dunes and breathtaking coastlines. A calm and beautiful way to explore the area, perfect even for beginners.",1 - 2 hours,60,120,30,From €30,EUR,Book now,book_now,,50,false,true,true,true,,false,,true
camel-trek,Camel Trek,surf,Surf,"A slow, timeless ride across soft coastal dunes followed by a warm cultural evening of traditional dinner and local music.",2 hours + dinner & dance,120,240,35,From €35,EUR,Book now,book_now,Includes cultural dinner and local music,60,false,true,true,true,,false,,true
sunset-yoga,Sunset Yoga,rest,Rest,"A soft evening practice with ocean views and gentle light. Grounding movement, deep breaths, and a peaceful way to end your day.",1 hour,60,60,12,From €12,EUR,Book now,book_now,,10,false,true,true,true,,false,,true
hot-springs,Hot Springs,rest,Rest,"Relax in warm, mineral-rich waters surrounded by rocky hills and a lush green meadow. Simple, soothing, and deeply restorative.",2 - 3 hours,120,180,15,From €15,EUR,Book now,book_now,,20,false,true,true,true,,false,,true
paradise-valley,Paradise Valley,rest,Rest,"Swim in emerald pools, rest beside running rivers, or explore palm-filled trails. A refreshing blend of chill and adventure.",Half day,240,300,25,From €25,EUR,Book now,book_now,,30,false,true,true,true,,false,,true
hammam-spa,Hammam Spa,rest,Rest,"A traditional Moroccan hammam with steam, exfoliation, and natural treatments. Cleansing, comforting, and fully renewing.",1 - 2 hours,60,120,25,From €25,EUR,Book now,book_now,,40,false,true,true,true,,false,,true
deep-tissue-massage,Deep Tissue Massage,rest,Rest,"A slow, intentional massage that melts deep tension and supports full-body recovery. Perfect after surf, travel, or long days.",1 - 2 hours,60,120,25,From €25,EUR,Book now,book_now,,50,false,true,true,true,,false,,true
pottery-class,Pottery Class,remember,Remember,"Learn Amazigh pottery techniques and shape clay with local artisans. A grounding, creative moment where you leave with your own handmade piece.",2 hours,120,120,25,From €25,EUR,Book now,book_now,,10,false,true,true,true,,false,,true
jewellery-workshop,Jewellery Workshop,remember,Remember,"Create your own piece in a warm, hands-on workshop led by a local woman artisan.",2 hours,120,120,30,From €30,EUR,Book now,book_now,,20,false,true,true,true,,false,,true
cooking-class,Cooking Class,remember,Remember,"Visit the Anza Wednesday souk for fresh ingredients, then cook a traditional Moroccan meal together. A full, authentic local experience from market to plate.",4 hours,240,240,25,From €25,EUR,Book now,book_now,,30,false,true,true,true,,false,,true
agadir-souk-medina,Agadir Souk & Medina,remember,Remember,"Explore the lively souk, handmade crafts, and the historic medina with a local guide. Full of colour, stories, and a delicious lunch tucked inside Agadir's fish market.",5 hours,300,300,35,From €35,EUR,Book now,book_now,Includes lunch at Agadir fish market,40,false,true,true,true,,false,,true
ancestral-beauty-henna,Ancestral Beauty & Henna,remember,Remember,"Explore old Amazigh beauty recipes, natural treatments, and traditional henna symbols with a local woman.",2 hours,120,120,20,From €20,EUR,Book now,book_now,,50,false,true,true,true,,false,,true
cultural-day-trip,Cultural Day Trip,remember,Remember,"Ancient caves, Amazigh villages, swimming spots, scenic walks, and a homemade lunch - a rich blend of nature and culture.",Full day,420,540,70,From €70,EUR,Book now,book_now,Homemade lunch included,60,false,true,true,true,,false,,true
tarot-reading,Tarot Reading,workshop,Workshops,"Intuitive tarot session in a calm, held space. Subject to availability and group size; final price may vary.",Workshop session,60,120,25,From €25,EUR,Book now,book_now,Request only; not a package checkout add-on,10,false,true,true,false,,true,afternoon,true
breathwork-session,Breathwork Session,workshop,Workshops,"Guided breathwork to regulate energy and deepen presence. Subject to availability; final price may vary.",Workshop session,60,120,50,From €50,EUR,Book now,book_now,Request only; not a package checkout add-on,20,false,true,true,false,,true,afternoon,true
sound-healing,Sound Healing,workshop,Workshops,"Sound-based relaxation and restoration. Not available in the Surf & Stay add-on list per client matrix.",Workshop session,60,120,45,From €45,EUR,Book now,book_now,Request only; B&B enquiries only for Surf & Stay exclusion,30,false,true,false,false,,true,,true
healing-herbs-tea-workshop,Healing Herbs & Tea Workshop,workshop,Workshops,"Explore local herbs and tea blending with a gentle, hands-on session. Subject to availability; final price may vary.",Workshop session,60,120,30,From €30,EUR,Book now,book_now,Request only; not a package checkout add-on,40,false,true,true,false,,true,afternoon,true
fire-intentions-workshop,Fire & Intentions Workshop,workshop,Workshops,"Evening intention-setting around the fire in a shared ritual space. Not available in the Surf & Stay add-on list per client matrix.",Workshop session,60,120,25,From €25,EUR,Book now,book_now,Request only; B&B enquiries only for Surf & Stay exclusion,50,false,true,false,false,,true,,true
amazigh-symbols-tattoos,Amazigh Symbols & Traditional Tattoos,workshop,Workshops,"Learn Amazigh symbols and traditional tattoo culture in a respectful, educational session. Subject to availability; final price may vary.",Workshop session,60,120,40,From €40,EUR,Book now,book_now,Request only; not a package checkout add-on,60,false,true,true,false,,true,afternoon,true
